unique_name,strongs,founder,people_group,latitude,lat,longitude,long,bcv_id
Bethany@Mat.21.17,G0963,,,31.77166591433378,31.7,35.26212203964414,35.2,mat.21.17
Bethany@Jdg.7.24,H1012,,,31.8363211491438,31.8,35.55260017422344,35.5,jdg.7.24
Beth-arabah@Jos.15.6,H1026,,,31.843320,31.8,35.506490,35.5,jos.15.6
Beth-arbel@Hos.10.14,H1009,,,32.56101132918748,32.5,35.84782996762625,35.8,hos.10.14
Beth-ashbea@1Ch.4.21,H1004G,,,0,,14z,,1ch.4.21
Beth-Ashtoreth@1Sa.31.10,H1045,,,,,,,1sa.31.10
Beth-aven@Jos.7.2,H1007,,,31.89571707979081,31.8,35.25309824700233,35.2,jos.7.2
Beth-azmaveth@Ezr.2.24,H1041,,,31.834203,31.8,35.260706,35.2,ezr.2.24
Beth-biri@1Ch.4.31,H1011,,,31.391668,31.3,34.940502,34.9,1ch.4.31
Beth-car@1Sa.7.11,H1033,,,31.83273947023218,31.8,35.1801628605877,35.1,1sa.7.11
Beth-dagon@Jos.15.41,H1016G,,,31.908,31.9,34.775,34.7,jos.15.41
Beth-dagon@Jos.19.27,H1016H,,,32.899561,32.8,35.107928,35.1,jos.19.27
Beth-eden@Amo.1.5,H1040,,,33.519299,33.5,36.31344999999999,36.3,amo.1.5
Beth-eked@2Ki.10.12,H1044,,,32.5559631396043,32.5,35.33078927843792,35.3,2ki.10.12
Bethel@Gen.12.8,H1008G,,,31.93053920580005,31.9,35.22103274923676,35.2,gen.12.8
Bethel@Jos.12.16,H1008H,,,32.049953,32.0,35.733402,35.7,jos.12.16
Beth-emek@Jos.19.27,H1025,,,32.978855,32.9,35.167096,35.1,jos.19.27
Bether_Mountain@Sng.2.17,H1336,Word sometimes translated as a place,,0,,14z,,sng.2.17
Bethesda@Jhn.5.2,G0964,,,31.777444,31.7,35.234935,35.2,jhn.5.2
Beth-ezel@Mic.1.11,H1018,,,31.743719,31.7,34.694006,34.6,mic.1.11
Beth-gader@1Ch.2.51,H1013,,,0,,14z,,1ch.2.51
Beth-gamul@Jer.48.23,H1014,,,31.519692,31.5,35.844714,35.8,jer.48.23
Beth-haccherem@Neh.3.14,H1021,,,31.665911,31.6,35.241516,35.2,neh.3.14
Beth-haggan@2Ki.9.27,H1004H,,,32.58418313614938,32.5,35.18229165870594,35.1,2ki.9.27
Beth-haram@Jos.13.27,H1027,,,31.816667,31.8,35.583333,35.5,jos.13.27
Beth-hoglah@Jos.15.6,H1031,,,31.837062,31.8,35.513151,35.5,jos.15.6
Beth-horon_Lower@Jos.16.3,H1032G,,,31.87892595986906,31.8,35.12356744466153,35.1,jos.16.3
Beth-horon_Upper@Jos.16.5,H1032H,,,31.85891795409998,31.8,35.12831317484221,35.1,jos.16.5
Beth-jeshimoth@Num.33.49,H1020,,,31.77691134657884,31.7,35.59865748950166,35.5,num.33.49
Beth-lebaoth@Jos.19.6,H1034,,,31.391668,31.3,34.940502,34.9,jos.19.6
Beth-merchak@2Sa.15.17,H1023,,,,,,,2sa.15.17
Bethlehem@Gen.35.16,H1035G,,,31.70536129174666,31.7,35.21026630105202,35.2,gen.35.16
Bethlehem@Jos.19.15,H1035H,,,32.735379,32.7,35.189704,35.1,jos.19.15
Beth-millo@Jdg.9.6,H1037,,,32.21369123124062,32.2,35.2817986718367,35.2,jdg.9.6
