unique_name,qualifer,significance,estrong,dstrong,original,esv_name
Atroth-beth-joab@1Ch.2.54,,- Named,H5854,H5854,עַטְרוֹת בֵּית יוֹאָב,Atroth-beth-joab
Atroth-shophan@Num.32.35,,- Named,H5855,H5855,עַטְרוֹת שׁוֹפָן,"Atroth-shophan (KJV, NIV= Atroth Shophan)"
Attalia@Act.14.25,,- Named,G0825,G0825,Ἀττάλεια,Attalia
Aven_Valley@Amo.1.5,," - Name Combined",H0206G,,H0206,Valley/ of Aven
Avith@Gen.36.35,,- Named,H5762,H5762,עֲוִית,Avith (=Qere. Ketiv= Ayoth)
Ivvah@2Ki.17.24,,- Named,H5755,H5755,עַוָּה,Ivvah
Ivvah@2Ki.17.24,Avva,- (same as previous),H5755,H5755,עַוָּה,Avva
Ivvah@2Ki.17.24,Avva,- Group,H5761I,H5761,עַוִּים,Avvite
Ivvah@2Ki.17.24,Avva,- Group,H5757,H5757,H5757,Avvite
Avvim@Jos.18.23,,- Named,H5761H,H5761,עַוִּים,Avvim
Azal@Zec.14.5,,- Named,H0682B,H0682b,אָצֵל,Azal
Azekah@Jos.10.10,,- Named,H5825,H5825,עֲזֵקָה,Azekah
Azmon@Num.34.4,,- Named,H6111,H6111,עַצְמוֹן,Azmon
Aznoth-tabor@Jos.19.34,,- Named,H0243,H0243,אַזְנוֹת תָּבוֹר,Aznoth-tabor (NIV= Aznoth Tabor)
Baalah@Jos.15.29,,- Named,H1173H,H1173,בַּעֲלָה,Baalah
Baalah_Mount@Jos.15.11,,- Named,H1173G,H1173,בַּעֲלָה,(Mount )Baalah
Baalath@Jos.19.44,,- Named,H1191G,H1191,בַּעֲלָת,Baalath
Baalath@1Ki.9.18,,- Named,H1191H,H1191,בַּעֲלָת,Baalath
Baalath-beer@Jos.19.8,,- Named,H1192,H1192,בַּעֲלַת בְּאֵר,Baalath-beer (NIV= Baalath Beer)
Baalath-beer@Jos.19.8,Bealoth,- Named,H1175,H1175,בְּעָלוֹת,Bealoth
Baalath-beer@Jos.19.8,Baal,- Named,H1168H,H1168b,בַּ֫עַל,Baal (NIV= Ballath)
Baalath-beer@Jos.19.8,Ramoth,- Named,H7418H,H7418,רָמוֹת,Ramoth
Baal-hazor@2Sa.13.23,,- Named,H1178,H1178,בַּ֫עַל חָצוֹר,Baal-hazor (NIV= Baal Hazor)
Baal-meon@Num.32.3,,- Named,H1186,H1186,בַּ֫עַל מְעוֹן,Baal-meon (NIV= Baal Meon)
Baal-meon@Num.32.3,Beth-baal-meon," - Name Combined",H1004L,,H1004b,Beth/-baal-meon (NIV= Beth Baal Meon)
Baal-meon@Num.32.3,Beth-meon,- Named,H1010,H1010,בֵּית מְעוֹן,Beth-meon (NIV= Beth Meon)
Baal-meon@Num.32.3,Beon,- Named,H1194,H1194,בְּעֹן,Beon
Baal-perazim@2Sa.5.20,,- Named,H1188,H1188,בַּ֫עַל פְּרָצִים,Baal-perazim (NIV= Baal Perazim)
Baal-shalishah@2Ki.4.42,,- Named,H1190,H1190,בַּ֫עַל שָׁלִשָׁה,Baal-shalishah (NIV= Baal Shalishah)
Baal-tamar@Jdg.20.33,,- Named,H1193,H1193,בַּ֫עַל תָּמָר,Baal-tamar (NIV= Baal Tamar)
Baal-zephon@Exo.14.2,,- Named,H1189,H1189,בַּ֫עַל צְפוֹן,Baal-zephon (NIV= Baal Zephon)
Babylon@Gen.10.10,,- Named,H0894,H0894,"בָּבֶ֫ל, בָּבֶל",Babylon
Babylon@Gen.10.10,,- (same as previous),H0894,H0894,"בָּבֶ֫ל, בָּבֶל",Babylonia
Babylon@Gen.10.10,Babel,- (same as previous),H0894,H0894,"בָּבֶ֫ל, בָּבֶל",Babel
Babylon@Gen.10.10,,- (same as previous),H0894,H0894,"בָּבֶ֫ל, בָּבֶל",Babylonian
Babylon@Gen.10.10,,- (same as previous),H0894,H0894,"בָּבֶ֫ל, בָּבֶל","[ ] (KJV, NIV= Babylon)"
Babylon@Gen.10.10,,- Aramaic,H0895,H0895,"בָּבֶ֫ל, בָּבֶל",Babylon
Babylon@Gen.10.10,,- (same as previous),H0895,H0895,"בָּבֶ֫ל, בָּבֶל",Babylonia
Babylon@Gen.10.10,,- Group,H0896,H0896,בָּֽבְלַי,Babylonian
Babylon@Gen.10.10,Sheshak,- Named,H8347,H8347,שֵׁשַׁךְ,Babylon (KJV=Sheshach; NIV= Sheshak)
Babylon@Gen.10.10,Merathaim,- Named,H4850,H4850,מְרָתַיִם,Merathaim
Babylon@Gen.10.10,Pekod,- Named,H6489,H6489,פְּקוֹד,Pekod
Babylon@Gen.10.10,,Greek,G0897,G0897,Βαβυλών,Babylon
Bahurim@2Sa.3.16,,- Named,H0980,H0980,בַּחֻרִים,Bahurim
Bahurim@2Sa.3.16,,- Group,H1273,H1273,בַּרְחֻמִי,"Bahurim (KJV, NIV= Barhumite)"
Bahurim@2Sa.3.16,Baharum,- Group,H0978,H0978,בַּחֲרוּמִי,"Baharum (KJV, NIV= Baharumite)"
Bajith@Isa.15.2,temple,- Named,H1006,H1006,בַּ֫יִת,"Bajith (ESV, NIV= temple)"
Balah@Jos.19.3,,- Named,H1088,H1088,בָּלָה,Balah
Bamoth@Num.21.19,,- Named,H1120G,H1120,בָּמוֹת,Bamoth
Bamoth-baal@Num.22.41,," - Name Combined",H1120H,,H1120,Bamoth/-baal (KJV= high places of Baal; NIV= Bamoth Baal)
Bamoth-baal@Num.22.41,,- (same as previous),H1120H,,H1120,Bamoth/-baal (NIV= Bamoth Baal)
Bamoth-baal@Num.22.41,Baal-bamoth,- Name,H1181,H1181,בַּעֲלֵי בָּמוֹת,heights (KJV= lords of the high places; NIV= citizens of heights of)
Bashan@Num.21.33,,- Named,H1316,H1316,בָּשָׁן,Bashan
Bath-rabbim@Sng.7.4,,- Named,H1337,H1337,בַּת־רַבִּים,Bath-rabbim (NIV= Bath Rabbim)
Beautiful_Gate@Act.3.2,,- Named,G5611,G5611,ὡραῖος,Beautiful (Gate)
Beer@Num.21.16,,- Named,H0876G,H0876,בְּאֵר,Beer
Beer-elim@Isa.15.8,,- Named,H0879,H0879,בְּאֵר אֵילִים,Beer-elim (NIV= Beer Elim)
Beer-lahai-roi@Gen.16.14,,- Named,H0883,H0883,בְּאֵר לַחַי רֹאִי,Beer-lahai-roi (KJV= well Lahai-roi)
Beer-lahai-roi@Gen.16.14,,- (same as previous),H0883,H0883,בְּאֵר לַחַי רֹאִי,Beer-lahai-roi
Beeroth@Jos.9.17,,- Named,H0881G,H0881,בְּאֵרוֹת,Beeroth
Beeroth@Jos.9.17,,- (same as previous),H0881G,H0881,בְּאֵרוֹת,Beeroth (NIV= -)
Beeroth@Jos.9.17,,- Spelled,H1307,H1307,בֵּרֹתִי,Beeroth
Beeroth@Jos.9.17,Beer,- Named,H0876H,H0876,בְּאֵר,Beer
Beeroth@Jos.9.17,,- Group,H0886,H0886,בְּאֵרֹתִי,Beerothite
Beeroth@Jos.9.17,,- (same as previous),H0886,H0886,בְּאֵרֹתִי,Beerothite
Beersheba@Gen.21.14,,- Named,H0884,H0884,בְּאֵר שֶׁ֫בַע,Beersheba
Beersheba@Gen.21.14,Sheba,- Named,H7652B,H7652b,שֶׁבַע,Sheba
Beersheba@Gen.21.14,Shibah,- Named,H7656,H7656,שִׁבְעָה,Shibah
Bene-berak@Jos.19.45,,- Named,H1139,H1139,בְּנֵי־בְרַק,Bene-berak (NIV= Bene Berak)
Bene-jaakan@Num.33.31,,- Named,H1142G,H1142,בְּנֵי יַעֲקָ֑ן,Bene-jaakan (NIV= Bene Jaakan)
Bene-jaakan@Num.33.31,Beeroth_Bene-jaakan," - Name Combined",H1142H,,H1142,Beeroth/ Bene-jaakan (KJV= Beeroth of the children of Jaakan; NIV=  wells of Bene Jaakan)
Bene-jaakan@Num.33.31,Beeroth_Bene-jaakan,- (same as previous),H0885,H0885,בְּאֵרֹת בְּנֵי־יַעֲקָן,Beeroth Bene-jaakan (KJV= Beeroth of the children of Jaakan; NIV=  wells of Bene Jaakan)
Benjamin_Gate@Jer.20.2,,- Named,H1144L,H1144,בִּנְיָמִין,Benjamin( Gate)
Benjamin_Gate@Zec.14.10,,- Named,H1144M,H1144,בִּנְיָמִין,(Gate of )Benjamin
Beracah_Valley@2Ch.20.26,," - Name Combined",H1294H,,H1294,Valley/ of Beracah (KJV= Berachah; NIV= Berakah)
Berea@Act.17.10,,- Named,G0960,G0960,Βέροια,Berea
Berea@Act.17.10,,- Group,G0961,G0961,Βεροιαῖος,Berean
Bered@Gen.16.14,,- Named,H1260G,H1260,בֶּ֫רֶד,Bered
Berothah@2Sa.8.8,,- Named,H1268A,H1268a,בֵּר֫וֹתָה,Berothah
Berothah@2Sa.8.8,Berothai,- Named,H1268B,H1268b,בֵּרֹתַי,Berothai
Berothah@2Sa.8.8,Cun,- Named,H3560,H3560,כּוּן,Cun (KJV= Chun; NIV= Kun)
Besor@1Sa.30.9,,- Named,H1308,H1308,בְּשׂוֹר,Besor
Betah@2Sa.8.8,,- Named,H0984,H0984,בֶּ֫טַח,Betah
