from_unique_name,to_bcv_id
Ashdod@Jos.11.22,jos.15.46
Ashdod@Jos.11.22,jos.15.47
Ashdod@Jos.11.22,1sa.5.1
Ashdod@Jos.11.22,1sa.5.5
Ashdod@Jos.11.22,1sa.5.6
Ashdod@Jos.11.22,1sa.5.7
Ashdod@Jos.11.22,1sa.6.17
Ashdod@Jos.11.22,2ch.26.6
Ashdod@Jos.11.22,2ch.26.6
Ashdod@Jos.11.22,isa.20.1
Ashdod@Jos.11.22,jer.25.20
Ashdod@Jos.11.22,amo.1.8
Ashdod@Jos.11.22,amo.3.9
Ashdod@Jos.11.22,zep.2.4
Ashdod@Jos.11.22,zec.9.6
Ashdod@Jos.11.22,jos.13.3
Ashdod@Jos.11.22,1sa.5.3
Ashdod@Jos.11.22,1sa.5.6
Ashdod@Jos.11.22,neh.13.23
Ashdod@Jos.11.22,neh.4.7
Ashdod@Jos.11.22,neh.13.24
Ashdod@Jos.11.22,act.8.40
Ashkelon@Jos.13.3,jdg.1.18
Ashkelon@Jos.13.3,jdg.14.19
Ashkelon@Jos.13.3,1sa.6.17
Ashkelon@Jos.13.3,2sa.1.20
Ashkelon@Jos.13.3,jer.25.20
Ashkelon@Jos.13.3,jer.47.5
Ashkelon@Jos.13.3,jer.47.7
Ashkelon@Jos.13.3,amo.1.8
Ashkelon@Jos.13.3,zep.2.4
Ashkelon@Jos.13.3,zep.2.7
Ashkelon@Jos.13.3,zec.9.5
Ashkelon@Jos.13.3,zec.9.5
Ashkelon@Jos.13.3,jos.13.3
Ashkenaz@Jer.51.27,jer.51.27
Ashnah@Jos.15.33,jos.15.33
Ashnah@Jos.15.33,jos.15.43
Ashtaroth@Deu.1.4,deu.1.4
Ashtaroth@Deu.1.4,jos.9.10
Ashtaroth@Deu.1.4,jos.12.4
Ashtaroth@Deu.1.4,jos.13.12
Ashtaroth@Deu.1.4,jos.13.31
Ashtaroth@Deu.1.4,1ch.6.71
Ashtaroth@Deu.1.4,jos.21.27
Ashtaroth@Deu.1.4,1ch.11.44
Ashteroth-karnaim@Gen.14.5,gen.14.5
Ashteroth-karnaim@Gen.14.5,amo.6.13
Asia@Act.2.9,act.2.9
Asia@Act.2.9,act.6.9
Asia@Act.2.9,act.16.6
Asia@Act.2.9,act.19.10
Asia@Act.2.9,act.19.22
Asia@Act.2.9,act.19.26
Asia@Act.2.9,act.19.27
Asia@Act.2.9,act.20.4
Asia@Act.2.9,act.20.16
Asia@Act.2.9,act.20.18
Asia@Act.2.9,act.21.27
Asia@Act.2.9,act.24.18
Asia@Act.2.9,act.24.19
Asia@Act.2.9,act.27.2
Asia@Act.2.9,rom.16.5
Asia@Act.2.9,1co.16.19
Asia@Act.2.9,2co.1.8
Asia@Act.2.9,2ti.1.15
Asia@Act.2.9,1pe.1.1
Asia@Act.2.9,rev.1.4
Asia@Act.2.9,rev.1.11
Asia@Act.2.9,act.20.4
Assos@Act.20.13,act.20.13
Assos@Act.20.13,act.20.14
Assyria@Gen.2.14,gen.2.14
Assyria@Gen.2.14,gen.10.11
Assyria@Gen.2.14,gen.25.18
Assyria@Gen.2.14,2ki.15.19
Assyria@Gen.2.14,2ki.15.20
Assyria@Gen.2.14,2ki.15.20
Assyria@Gen.2.14,2ki.15.29
Assyria@Gen.2.14,2ki.15.29
Assyria@Gen.2.14,2ki.16.7
Assyria@Gen.2.14,2ki.16.8
Assyria@Gen.2.14,2ki.16.9
Assyria@Gen.2.14,2ki.16.9
Assyria@Gen.2.14,2ki.16.10
Assyria@Gen.2.14,2ki.16.18
Assyria@Gen.2.14,2ki.17.3
Assyria@Gen.2.14,2ki.17.4
Assyria@Gen.2.14,2ki.17.4
Assyria@Gen.2.14,2ki.17.4
Assyria@Gen.2.14,2ki.17.5
Assyria@Gen.2.14,2ki.17.6
Assyria@Gen.2.14,2ki.17.6
Assyria@Gen.2.14,2ki.17.23
Assyria@Gen.2.14,2ki.17.24
Assyria@Gen.2.14,2ki.17.26
Assyria@Gen.2.14,2ki.17.27
Assyria@Gen.2.14,2ki.18.7
Assyria@Gen.2.14,2ki.18.9
Assyria@Gen.2.14,2ki.18.11
Assyria@Gen.2.14,2ki.18.11
Assyria@Gen.2.14,2ki.18.13
Assyria@Gen.2.14,2ki.18.14
Assyria@Gen.2.14,2ki.18.14
Assyria@Gen.2.14,2ki.18.16
Assyria@Gen.2.14,2ki.18.17
Assyria@Gen.2.14,2ki.18.19
Assyria@Gen.2.14,2ki.18.23
Assyria@Gen.2.14,2ki.18.28
Assyria@Gen.2.14,2ki.18.30
Assyria@Gen.2.14,2ki.18.31
Assyria@Gen.2.14,2ki.18.33
Assyria@Gen.2.14,2ki.19.4
Assyria@Gen.2.14,2ki.19.6
Assyria@Gen.2.14,2ki.19.8
Assyria@Gen.2.14,2ki.19.10
Assyria@Gen.2.14,2ki.19.11
Assyria@Gen.2.14,2ki.19.17
Assyria@Gen.2.14,2ki.19.20
Assyria@Gen.2.14,2ki.19.32
Assyria@Gen.2.14,2ki.19.36
Assyria@Gen.2.14,2ki.20.6
Assyria@Gen.2.14,2ki.23.29
Assyria@Gen.2.14,1ch.5.6
Assyria@Gen.2.14,1ch.5.26
Assyria@Gen.2.14,1ch.5.26
Assyria@Gen.2.14,2ch.28.16
Assyria@Gen.2.14,2ch.28.20
Assyria@Gen.2.14,2ch.28.21
Assyria@Gen.2.14,2ch.30.6
Assyria@Gen.2.14,2ch.32.1
Assyria@Gen.2.14,2ch.32.4
Assyria@Gen.2.14,2ch.32.7
Assyria@Gen.2.14,2ch.32.9
Assyria@Gen.2.14,2ch.32.10
Assyria@Gen.2.14,2ch.32.11
Assyria@Gen.2.14,2ch.32.21
Assyria@Gen.2.14,2ch.32.22
Assyria@Gen.2.14,2ch.33.11
Assyria@Gen.2.14,ezr.4.2
Assyria@Gen.2.14,ezr.6.22
Assyria@Gen.2.14,neh.9.32
Assyria@Gen.2.14,isa.7.17
Assyria@Gen.2.14,isa.7.18
Assyria@Gen.2.14,isa.7.20
Assyria@Gen.2.14,isa.8.4
